Rank,Name,Year,Publisher,Global_Sales_Millions
1702,Final Fantasy I & II: Dawn of Souls,2004,Nintendo,1.19
1704,Pokemon Super Mystery Dungeon,2015,Nintendo,1.19
1712,Mario Tennis,2000,Nintendo,1.18
1725,Wario Land: Shake It!,2008,Nintendo,1.17
1729,Ratchet & Clank (2016),2016,Sony Computer Entertainment,1.17
1734,Rage Racer,1996,Sony Computer Entertainment,1.17
1740,Mario vs. Donkey Kong,2004,Nintendo,1.17
1748,SingStar,2007,Sony Computer Entertainment,1.16
1749,Bushido Blade,1997,Sony Computer Entertainment,1.16
1752,Jet Force Gemini,1999,Nintendo,1.16
1772,Qix,1990,Nintendo,1.15
1776,Ratchet & Clank: All 4 One,2011,Sony Computer Entertainment,1.15
1777,Donkey Konga,2003,Nintendo,1.15
1783,Pokemon Rumble Blast,2011,Nintendo,1.14
1786,Shadow of the Colossus,2005,Sony Computer Entertainment,1.14
1788,Hot Shots Golf: Out of Bounds,2007,Sony Computer Entertainment,1.14
1794,Pilotwings,1990,Nintendo,1.14
1796,Super R.C. Pro-Am,1991,Nintendo,1.14
1803,MechAssault,2002,Microsoft Game Studios,1.13
1804,ModNation Racers,2010,Sony Computer Entertainment,1.13
1808,Fantasy Life,2012,Nintendo,1.13
1811,Donkey Kong,1983,Nintendo,1.13
1812,Jampack Winter '98,1998,Sony Computer Entertainment,1.13
1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),2005,Nintendo,1.13
1821,Pilotwings 64,1996,Nintendo,1.12
1822,Crackdown 2,2010,Microsoft Game Studios,1.12
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,2005,Sony Computer Entertainment,1.12
1829,Yoshi's Cookie,1992,Nintendo,1.12
1833,Counter-Strike,2003,Microsoft Game Studios,1.11
1838,Sunset Overdrive,2014,Microsoft Game Studios,1.11
1841,Donkey Kong Jr.,1983,Nintendo,1.11
1842,Arc the Lad,1995,Sony Computer Entertainment,1.11
1845,Pikmin 3,2013,Nintendo,1.11
1852,The Legend of Zelda: Tri Force Heroes,2015,Nintendo,1.1
1862,F-Zero X,1998,Nintendo,1.1
1863,Popeye,1983,Nintendo,1.1
1866,SingStar Legends,2006,Sony Computer Entertainment,1.1
1867,SingStar Rocks!,2006,Sony Computer Entertainment,1.1
1868,Tales of Symphonia,2003,Nintendo,1.1
1870,Star Ocean: The Second Story,1998,Sony Computer Entertainment,1.1
1881,Namco Museum Battle Collection,2005,Sony Computer Entertainment,1.09
1892,Endless Ocean,2007,Nintendo,1.09
1911,LEGO City Undercover,2013,Nintendo,1.08
1916,Star Fox: Assault,2005,Nintendo,1.08
1920,Doko Demo Issyo,1999,Sony Computer Entertainment,1.07
1929,Super Princess Peach,2005,Nintendo,1.07
1934,World Tour Soccer,2005,Sony Computer Entertainment,1.07
1936,Ridge Racer Revolution,1995,Sony Computer Entertainment,1.07
1964,Warhawk,2007,Sony Computer Entertainment,1.06
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,2006,Sony Computer Entertainment,1.05
1974,Arc the Lad II,1996,Sony Computer Entertainment,1.05
1984,Forza Motorsport,2005,Microsoft Game Studios,1.05
1987,Monster Rancher 2,1998,Sony Computer Entertainment,1.05
1988,Pokemon Conquest,2012,Nintendo,1.05
1999,Naruto: Clash of Ninja 2,2003,Nintendo,1.04
2002,F-Zero: Maximum Velocity,2001,Nintendo,1.04
2008,Kirby: Mass Attack,2011,Nintendo,1.04
2012,MotorStorm: Arctic Edge,2009,Sony Computer Entertainment,1.04
2013,WipEout Pure,2005,Sony Computer Entertainment,1.04
2043,Bayonetta 2,2014,Nintendo,1.01
2045,God of War: Ghost of Sparta,2010,Sony Computer Entertainment,1.01
2062,Excitebike 64,2000,Nintendo,1
2063,NES Open Tournament Golf,1991,Nintendo,1
2064,Game & Watch Gallery,1997,Nintendo,1
2071,NFL GameDay 2001,2000,Sony Computer Entertainment,1
2082,Jampack Winter 2000,2000,Sony Computer Entertainment,1
2085,NFL Fever 2002,2000,Microsoft Game Studios,0.99
2096,EyePet,2009,Sony Computer Entertainment,0.99
2099,The Bouncer,2000,Sony Computer Entertainment,0.99
2109,Xenoblade Chronicles,2010,Nintendo,0.98
2111,Mario Party Advance,2005,Nintendo,0.98
2113,Tetris 2,1993,Nintendo,0.98
2135,Fire Emblem,2003,Nintendo,0.97
2151,Dark Cloud 2,2002,Sony Computer Entertainment,0.96
2152,Jampack Summer '99,1999,Sony Computer Entertainment,0.96
2153,PlayStation All-Stars Battle Royale,2012,Sony Computer Entertainment,0.96
2158,Gangs of London,2006,Sony Computer Entertainment,0.96
2168,Shinobi,2002,Sony Computer Entertainment,0.96
2171,PilotWings Resort,2011,Nintendo,0.96
2181,SingStar Abba,2008,Sony Computer Entertainment,0.95
2183,Wild ARMs,1996,Sony Computer Entertainment,0.95
2195,Wii Play: Motion,2011,Nintendo,0.95
2196,Killzone,2004,Sony Computer Entertainment,0.94
2199,Star Fox 64 3D,2011,Nintendo,0.94
2206,Mario Tennis Open,2012,Nintendo,0.94
2213,MLB 2000,1999,Sony Computer Entertainment,0.94
2214,The Legend of Zelda: Twilight Princess HD,2016,Nintendo,0.94
2218,Hot Shots Golf Fore!,2003,Sony Computer Entertainment,0.94
2219,MLB 06: The Show,2006,Sony Computer Entertainment,0.94
2223,Buzz! Quiz World,2009,Sony Computer Entertainment,0.93
2228,White Knight Chronicles: International Edition,2008,Sony Computer Entertainment,0.93
2239,MLB 07: The Show,2007,Sony Computer Entertainment,0.93
2248,Blue Dragon,2006,Microsoft Game Studios,0.92
2261,Balloon Fight,1985,Nintendo,0.92
2263,Disney Magical World,2013,Nintendo,0.92
2268,MLB 12: The Show,2012,Sony Computer Entertainment,0.92
2271,Tobal No.1,1996,Sony Computer Entertainment,0.92
2272,Lost Odyssey,2007,Microsoft Game Studios,0.92
2273,MLB 15: The Show,2015,Sony Computer Entertainment,0.92
2299,MLB 2005,2004,Sony Computer Entertainment,0.9
2300,SOCOM 4: U.S. Navy SEALs,2011,Sony Computer Entertainment,0.9
2302,Buzz! Quiz TV,2008,Sony Computer Entertainment,0.9
2308,Hot Shots Tennis,2006,Sony Computer Entertainment,0.9
2310,Resistance: Retribution,2009,Sony Computer Entertainment,0.9
2320,Fossil Fighters,2008,Nintendo,0.9
2321,LittleBigPlanet Karting,2012,Sony Computer Entertainment,0.9
2328,Killzone: Liberation,2006,Sony Computer Entertainment,0.89
2335,Classic NES Series: The Legend of Zelda,2004,Nintendo,0.89
2336,The Jak and Daxter Collection,2012,Sony Computer Entertainment,0.89
2337,Fire Emblem: The Sacred Stones,2004,Nintendo,0.89
2338,Pokemon Card GB2: Here Comes Team GR!,2001,Nintendo,0.89
2341,Ace Combat 2,1997,Sony Computer Entertainment,0.89
2350,Wii Fit U,2013,Nintendo,0.89
2353,MLB 2001,2000,Sony Computer Entertainment,0.89
2354,SingStar Anthems,2006,Sony Computer Entertainment,0.89
2366,Buzz! The Mega Quiz,2007,Sony Computer Entertainment,0.88
2367,Endless Ocean: Blue World,2009,Nintendo,0.88
2376,Crimson Skies: High Road to Revenge,2003,Microsoft Game Studios,0.87
2391,NFL GameDay '97,1996,Sony Computer Entertainment,0.87
2397,Buzz! Master Quiz,2008,Sony Computer Entertainment,0.87
2405,Lemmings,2006,Sony Computer Entertainment,0.87
2410,SingStar '90s,2007,Sony Computer Entertainment,0.87
2415,Ghostbusters: The Video Game,2009,Sony Computer Entertainment,0.86
2422,MLB 99,1998,Sony Computer Entertainment,0.86
2425,The Legendary Starfy,2008,Nintendo,0.86
2429,Forza Horizon 2,2014,Microsoft Game Studios,0.85
2448,NFL GameDay,1995,Sony Computer Entertainment,0.85
2450,Kirby: Planet Robobot,2016,Nintendo,0.85
2456,Golden Sun: Dark Dawn,2010,Nintendo,0.84
2459,MLB 16: The Show,2016,Sony Computer Entertainment,0.84
2461,Xenoblade Chronicles X,2015,Nintendo,0.84
2474,Rogue Galaxy,2005,Sony Computer Entertainment,0.84
2476,Metroid: Zero Mission,2004,Nintendo,0.84
2483,Ace Combat 3: Electrosphere,1999,Sony Computer Entertainment,0.83
2490,Brute Force,2003,Microsoft Game Studios,0.83
2491,Dance Central 3,2012,Microsoft Game Studios,0.83
2496,Sly 3: Honor Among Thieves,2005,Sony Computer Entertainment,0.83
2503,MediEvil,1998,Sony Computer Entertainment,0.83
2515,Clu Clu Land,1984,Nintendo,0.82
2516,Killer Instinct Gold,1996,Nintendo,0.82
2517,Amped: Freestyle Snowboarding,2001,Microsoft Game Studios,0.82
2519,MediEvil: Resurrection,2005,Sony Computer Entertainment,0.82
2529,SingStar Vol. 2,2008,Sony Computer Entertainment,0.82
2532,Twisted Metal (2012),2012,Sony Computer Entertainment,0.82
2537,Patapon,2007,Sony Computer Entertainment,0.81
2542,The Legend of Zelda: Four Swords Adventures,2004,Nintendo,0.81
2552,EarthBound,1994,Nintendo,0.81
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,Nintendo,0.8
2594,Capcom's Soccer Shootout,1993,Nintendo,0.8
2603,Ridge Racer,1994,Sony Computer Entertainment,0.79
2607,Invizimals,2009,Sony Computer Entertainment,0.79
2620,Major League Baseball Featuring Ken Griffey Jr,1998,Nintendo,0.79
2622,Too Human,2008,Microsoft Game Studios,0.79
2626,Personal Trainer: Walking,2008,Nintendo,0.79
2628,PokePark 2: Wonders Beyond,2011,Nintendo,0.79
2629,Professor Layton and the Azran Legacy,2013,Nintendo,0.78
2632,Lips,2008,Microsoft Game Studios,0.78
2634,Metroid Prime Hunters,2006,Nintendo,0.78
2637,Buzz! The Hollywood Quiz,2007,Sony Computer Entertainment,0.78
2642,God of War Saga,2012,Sony Computer Entertainment,0.78
2644,Tetris Party Deluxe,2010,Nintendo,0.78
2656,Banjo-Kazooie: Nuts & Bolts,2008,Microsoft Game Studios,0.78
2657,NBA ShootOut 98,1998,Sony Computer Entertainment,0.78
2661,Perfect Dark Zero,2005,Microsoft Game Studios,0.77
2669,Freedom Wars,2014,Sony Computer Entertainment,0.77
2680,Twisted Metal: Head On,2005,Sony Computer Entertainment,0.77
2683,Pokemon Dash,2004,Nintendo,0.77
2684,Donkey Kong Country 3,2005,Nintendo,0.77
2710,Syphon Filter: The Omega Strain,2004,Sony Computer Entertainment,0.76
2727,Genji: Days of the Blade,2006,Sony Computer Entertainment,0.76
2731,Rare Replay,2015,Microsoft Game Studios,0.75
2760,LittleBigPlanet 3,2014,Sony Computer Entertainment,0.75
2765,Jump Ultimate Stars,2006,Nintendo,0.74
2766,Jampack Summer 2001,2001,Sony Computer Entertainment,0.74
2773,Mario & Luigi: Paper Jam,2015,Nintendo,0.74
2785,Jet Moto 3,1999,Sony Computer Entertainment,0.74
2792,Sword of Mana,2003,Nintendo,0.74
2798,Classic NES Series: Donkey Kong,2004,Nintendo,0.73
2800,Yoshi,1991,Nintendo,0.73
2804,Kirby: Canvas Curse,2005,Nintendo,0.73
2806,Practise English!,2007,Nintendo,0.73
2814,Just Dance Wii,2011,Nintendo,0.73
2818,Ratchet & Clank Collection,2012,Sony Computer Entertainment,0.73
2824,Style Savvy: Trendsetters,2012,Nintendo,0.72
2844,Jampack Winter 2001,2001,Sony Computer Entertainment,0.72
2851,MLB 09: The Show,2009,Sony Computer Entertainment,0.72
2852,Monster Hunter Tri,2012,Nintendo,0.72
2862,MLB 13: The Show,2013,Sony Computer Entertainment,0.71
2874,Conker: Live And Reloaded,2005,Microsoft Game Studios,0.71
2880,MLB 10: The Show,2010,Sony Computer Entertainment,0.71
2884,Rhythm Heaven: The Best+,2015,Nintendo,0.71
2887,Blast Corps,1997,Nintendo,0.71
2890,"WarioWare, Inc.: Mega Party Game$",2003,Nintendo,0.71
2892,Battle Arena Toshinden 2,1995,Sony Computer Entertainment,0.71
2901,Ratchet & Clank: Into the Nexus,2013,Sony Computer Entertainment,0.71
2913,Kill.Switch,2003,Sony Computer Entertainment,0.7
2919,Jade Empire,2005,Microsoft Game Studios,0.7
2925,Advance Wars,2001,Nintendo,0.7
2928,Ape Escape: On the Loose,2005,Sony Computer Entertainment,0.7
2931,Book of Spells,2012,Sony Computer Entertainment,0.7
2938,MLB 08: The Show,2008,Sony Computer Entertainment,0.7
2939,Classic NES Series: Zelda II: The Adventure of Link,2004,Nintendo,0.7
2940,Fire Emblem: Monsh? no Nazo,1994,Nintendo,0.7
2951,Halo 2 Multiplayer Map Pack,2005,Microsoft Game Studios,0.69
2956,Mario Pinball Land,2004,Nintendo,0.69
2960,NFL Xtreme,1998,Sony Computer Entertainment,0.69
2961,The Sly Collection,2010,Sony Computer Entertainment,0.69
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015,Nintendo,0.69
2975,Kirby's Dream Collection: Special Edition,2012,Nintendo,0.68
2978,The Last Story,2011,Nintendo,0.68
2988,Hot Shots Golf: Open Tee 2,2007,Sony Computer Entertainment,0.68
2990,Fossil Fighters: Champions,2010,Nintendo,0.68
3002,Tourist Trophy: The Real Riding Simulator,2006,Sony Computer Entertainment,0.68
3008,100 Classic Books,2008,Nintendo,0.67
3023,Spice World,1998,Sony Computer Entertainment,0.67
3033,Wild ARMs 2,1999,Sony Computer Entertainment,0.67
3058,MLB 2004,2003,Sony Computer Entertainment,0.66
3074,Legend of Legaia,1998,Sony Computer Entertainment,0.66
3077,Wario: Master of Disguise,2007,Nintendo,0.66
3083,New Play Control! Pikmin,2008,Nintendo,0.66
3088,Um Jammer Lammy,1998,Sony Computer Entertainment,0.66
3094,Scene It? Box Office Smash,2008,Microsoft Game Studios,0.66
3103,F-Zero GX,2003,Nintendo,0.65
3106,Yoshi Topsy-Turvy,2004,Nintendo,0.65
3115,Advance Wars 2: Black Hole Rising,2003,Nintendo,0.65
3116,Fire Emblem: Shadow Dragon,2008,Nintendo,0.65
3119,SingStar Pop Hits,2007,Sony Computer Entertainment,0.65
3123,SingStar R&B,2007,Sony Computer Entertainment,0.65
3169,Gravity Rush,2012,Sony Computer Entertainment,0.64
3171,White Knight Chronicles II,2010,Sony Computer Entertainment,0.64
3173,Jampack Volume 13 (RP-T),2005,Sony Computer Entertainment,0.64
3175,Start the Party!,2010,Sony Computer Entertainment,0.64
3176,Cruis'n World,1998,Nintendo,0.64
3180,Donkey Kong Barrel Blast,2007,Nintendo,0.64
3187,Nightmare Creatures,1997,Sony Computer Entertainment,0.63
3188,SingStar Queen,2009,Sony Computer Entertainment,0.63
3214,God of War III,2015,Sony Computer Entertainment,0.63
3215,Ape Escape 2,2002,Sony Computer Entertainment,0.63
3216,Metroid Prime: Trilogy,2009,Nintendo,0.63
3246,NBA ShootOut '97,1997,Sony Computer Entertainment,0.62
3273,Mario's Picross,1995,Nintendo,0.62
3284,Formula 1: Championship Edition,2006,Sony Computer Entertainment,0.61
3287,SingStar Singalong With Disney,2008,Sony Computer Entertainment,0.61
3290,NFL Fever 2003,2002,Microsoft Game Studios,0.61
3304,Ganbaru Watashi no Kakei Diary,2007,Nintendo,0.61
3306,New Play Control! Donkey Kong Jungle Beat,2008,Nintendo,0.61
3313,Jak and Daxter: The Lost Frontier,2009,Sony Computer Entertainment,0.61
3319,Final Fantasy IV Advance,2005,Nintendo,0.61
3330,Game & Watch Gallery 4,2002,Nintendo,0.61
3335,New Play Control! Pikmin 2,2009,Nintendo,0.6
3337,Hot Shots Golf: World Invitational,2011,Sony Computer Entertainment,0.6
3340,Wave Race: Blue Storm,2001,Nintendo,0.6
3349,WarioWare D.I.Y.,2009,Nintendo,0.6
3355,Secret Agent Clank,2009,Sony Computer Entertainment,0.6
3362,Mickey's Speedway USA,2000,Nintendo,0.6
3369,PGR3 - Project Gotham Racing 3,2005,Microsoft Game Studios,0.6
3376,Kinect Rush: A Disney Pixar Adventure,2012,Microsoft Game Studios,0.6
3381,The Fight: Lights Out,2010,Sony Computer Entertainment,0.6
3383,Pokemon Trozei!,2005,Nintendo,0.6
3394,Jampack Fall 2001,2001,Sony Computer Entertainment,0.59
3417,Dead or Alive Xtreme Beach Volleyball,2003,Microsoft Game Studios,0.59
3426,Barbie: Race & Ride,1999,Sony Computer Entertainment,0.59
3437,Kirby's Dream Course,1994,Nintendo,0.59
3456,Kinect Sports Rivals,2014,Microsoft Game Studios,0.58
3475,Xenosaga Episode II: Jenseits von Gut und Böse,2004,Sony Computer Entertainment,0.58
3487,Fire Emblem: Seisen no Keifu,1996,Nintendo,0.58
3493,MLB 11: The Show,2011,Sony Computer Entertainment,0.58
3497,Rooms: The Main Building,2010,Nintendo,0.58
3500,Tetris Party Deluxe,2010,Nintendo,0.58
3502,Ratchet & Clank: Quest for Booty,2008,Sony Computer Entertainment,0.58
3522,Beyond The Beyond,1995,Sony Computer Entertainment,0.57
3534,The Mysterious Murasame Castle,1986,Nintendo,0.57
3539,Blood Wake,2001,Microsoft Game Studios,0.57
3543,Jampack Summer 2002,2002,Sony Computer Entertainment,0.57
3551,RalliSport Challenge,2002,Microsoft Game Studios,0.57
3564,Donkey Kong Jungle Climber,2007,Nintendo,0.56
3570,Classic NES Series: Dr. Mario,2004,Nintendo,0.56
3573,"Monsters, Inc. Scream Team",2001,Sony Computer Entertainment,0.56
3578,Hotel Dusk: Room 215,2007,Nintendo,0.56
3595,Xenoblade Chronicles,2015,Nintendo,0.56
3600,Lips: Number One Hits,2009,Microsoft Game Studios,0.56
3601,Hamtaro: Ham-Hams Unite!,2001,Nintendo,0.56
3607,Blinx: The Time Sweeper,2002,Microsoft Game Studios,0.56
3614,DS Bimoji Training,2008,Nintendo,0.56
3617,Soul Sacrifice,2013,Sony Computer Entertainment,0.56
3627,God of War: Origins Collection,2011,Sony Computer Entertainment,0.56
3643,Jump Super Stars,2005,Nintendo,0.55
3651,Extermination,2001,Sony Computer Entertainment,0.55
3653,Unit 13,2012,Sony Computer Entertainment,0.55
3657,Secret Agent Clank(US sales),2008,Sony Computer Entertainment,0.55
3680,Mortal Kombat 3,1995,Sony Computer Entertainment,0.55
3682,Jak X: Combat Racing,2005,Sony Computer Entertainment,0.55
3691,SingStar Summer Party,2008,Sony Computer Entertainment,0.54
3698,Excite Truck,2006,Nintendo,0.54
3702,ModNation Racers,2010,Sony Computer Entertainment,0.54
3710,Inazuma Eleven,2008,Nintendo,0.54
3724,Bust A Groove,1998,Sony Computer Entertainment,0.54
3725,Fire Emblem: Path of Radiance,2005,Nintendo,0.54
3742,Star Fox Command,2006,Nintendo,0.54
3745,Inazuma Eleven GO,2011,Nintendo,0.54
3753,War of the Monsters,2003,Sony Computer Entertainment,0.54
3764,Jampack Volume 11,2004,Sony Computer Entertainment,0.53
3779,Jampack Vol. 2,1996,Sony Computer Entertainment,0.53
3786,SingStar Dance,2010,Sony Computer Entertainment,0.53
3787,Kirby and the Rainbow Curse,2015,Nintendo,0.53
3794,NBA 06,2005,Sony Computer Entertainment,0.53
3817,Picross 3D,2009,Nintendo,0.53
3821,Wayne Gretzky's 3D Hockey,1996,Nintendo,0.53
3824,Mario Tennis: Power Tour,2005,Nintendo,0.52
3832,Naruto Shippuden: Clash of Ninja Revolution 3,2009,Nintendo,0.52
3837,Syphon Filter 3,2001,Sony Computer Entertainment,0.52
3852,PlayStation All-Stars Battle Royale,2012,Sony Computer Entertainment,0.52
3863,Lair,2007,Sony Computer Entertainment,0.52
3867,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,2006,Nintendo,0.52
3872,Omega Boost,1999,Sony Computer Entertainment,0.52
3877,Jampack Winter 2002,2002,Sony Computer Entertainment,0.52
3883,Pac-Man Fever,2001,Sony Computer Entertainment,0.51
3897,Jam With the Band,2008,Nintendo,0.51
3904,Fire Emblem: Radiant Dawn,2007,Nintendo,0.51
3909,Wrecking Crew,1985,Nintendo,0.51
3925,Picross DS,2007,Nintendo,0.51
3929,Quantum Break,2016,Microsoft Game Studios,0.51
3948,NHL FaceOff 98,1997,Sony Computer Entertainment,0.51
3981,Tactics Ogre: The Knight of Lodis,2001,Nintendo,0.5
3982,Fortune Street,2011,Nintendo,0.5
4009,PoPoLoCrois Monogatari,1996,Sony Computer Entertainment,0.5
4026,MotorStorm: Apocalypse,2011,Sony Computer Entertainment,0.49
4043,Mario & Wario,1993,Nintendo,0.49
4046,Pokemon Art Academy,2014,Nintendo,0.49
4055,WipEout Pulse,2009,Sony Computer Entertainment,0.49
4074,Steel Diver,2011,Nintendo,0.49
4084,Scene It? Lights Camera Action,2007,Microsoft Game Studios,0.48
4089,Children of Mana,2006,Nintendo,0.48
4093,Mario Golf: World Tour,2014,Nintendo,0.48
4100,You're in the Movies,2008,Microsoft Game Studios,0.48
4128,Viva Pinata: Trouble in Paradise,2008,Microsoft Game Studios,0.48
4130,FlingSmash,2010,Nintendo,0.48
4137,Fable,2014,Microsoft Game Studios,0.48
4148,Fantavision,2000,Sony Computer Entertainment,0.47
4152,Bravely Second: End Layer,2015,Nintendo,0.47
4168,ICO,2001,Sony Computer Entertainment,0.47
4176,Densetsu no Stafi,2002,Nintendo,0.47
4179,Shadowrun,2007,Microsoft Game Studios,0.47
4188,Bomberman Hero,1998,Nintendo,0.47
4223,Dance Dance Revolution: Mario Mix,2005,Nintendo,0.47
4231,Classic NES Series: Pac-Man,2004,Nintendo,0.46
4241,Syphon Filter: Logan's Shadow,2007,Sony Computer Entertainment,0.46
4249,Art Academy: Lessons for Everyone,2012,Nintendo,0.46
4251,ATV Offroad Fury Pro,2006,Sony Computer Entertainment,0.46
4253,SingStar Amped,2007,Sony Computer Entertainment,0.46
4263,Mario & Sonic at the Rio 2016 Olympic Games,2016,Nintendo,0.46
4264,NHL FaceOff '97,1996,Sony Computer Entertainment,0.46
4270,The Mark of Kri,2002,Sony Computer Entertainment,0.46
4271,Jampack Winter 2003 (RP-M),2003,Sony Computer Entertainment,0.46
4281,Jak and Daxter: The Lost Frontier,2009,Sony Computer Entertainment,0.46
4298,Mother 1+2,2003,Nintendo,0.46
4301,Puzzle & Dragons Z + Super Mario Bros. Edition,2015,Nintendo,0.46
4303,Top Spin,2003,Microsoft Game Studios,0.46
4305,Warhawk,1995,Sony Computer Entertainment,0.46
4308,DanceStar Party,2011,Sony Computer Entertainment,0.46
4329,Resistance: Burning Skies,2012,Sony Computer Entertainment,0.45
4359,SingStar Queen,2009,Sony Computer Entertainment,0.45
4361,Samurai Warriors 3,2009,Nintendo,0.45
4367,Pokemon Puzzle League,2000,Nintendo,0.45
4383,SingStar Take That,2009,Sony Computer Entertainment,0.45
4384,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,2010,Sony Computer Entertainment,0.45
4390,NHL FaceOff,1994,Sony Computer Entertainment,0.45
4402,Mario Tennis Ultra Smash,2015,Nintendo,0.45
4406,Mario Golf: Advance Tour,2004,Nintendo,0.45
4414,Jampack Volume 13 (RP-M),2005,Sony Computer Entertainment,0.44
4439,Densetsu no Stafi 2,2003,Nintendo,0.44
4455,Sin and Punishment: Star Successor,2009,Nintendo,0.44
4466,Grind Session,2000,Sony Computer Entertainment,0.44
4469,Wario World,2003,Nintendo,0.44
4479,Eternal Darkness: Sanity's Requiem,2002,Nintendo,0.44
4482,SingStar Motown,2009,Sony Computer Entertainment,0.44
4491,Master of Illusion,2006,Nintendo,0.44
4494,Classic NES Series: Metroid,2004,Nintendo,0.43
4498,Primal,2003,Sony Computer Entertainment,0.43
4515,Minecraft,2016,Microsoft Game Studios,0.43
4516,MLB 2002,2001,Sony Computer Entertainment,0.43
4534,Mischief Makers,1997,Nintendo,0.43
4539,EyeToy: AntiGrav,2004,Sony Computer Entertainment,0.43
4542,Cool Boarders,1996,Sony Computer Entertainment,0.43
4550,Microsoft Flight Simulator X,2006,Microsoft Game Studios,0.43
4583,Dog's Life,2003,Sony Computer Entertainment,0.42
4584,The X Files,1999,Sony Computer Entertainment,0.42
4590,Famicom Mini: Super Mario Bros. 2,2004,Nintendo,0.42
4616,Arc the Lad III,1999,Sony Computer Entertainment,0.42
4625,Dr. Mario 64,2001,Nintendo,0.42
4631,MLB 08: The Show,2008,Sony Computer Entertainment,0.42
4655,Zack & Wiki: Quest for Barbaros' Treasure,2007,Nintendo,0.42
4659,Animal Crossing: Amiibo Festival,2015,Nintendo,0.42
4660,Hyrule Warriors,2016,Nintendo,0.42
4680,Jampack Spring 2004 (RP-T),2003,Sony Computer Entertainment,0.41
4682,NFL GameDay 2004,2003,Sony Computer Entertainment,0.41
4693,MLB 10: The Show,2010,Sony Computer Entertainment,0.41
4697,Cool Boarders 2001,2000,Sony Computer Entertainment,0.41
4723,Boku no Natsuyasumi 2: Umi no Bouken Hen,2002,Sony Computer Entertainment,0.41
4730,Ogre Battle 64: Person of Lordly Caliber,1999,Nintendo,0.41
4735,Rogue Galaxy: Director's Cut,2007,Sony Computer Entertainment,0.41
4736,Armored Core,1997,Sony Computer Entertainment,0.41
4746,The Wonderful 101,2013,Nintendo,0.41
4750,Buzz! Junior: Jungle Party,2006,Sony Computer Entertainment,0.41
4767,Mario no Super Picross,1995,Nintendo,0.41
4772,The Gunstringer,2011,Microsoft Game Studios,0.41
4780,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,2003,Sony Computer Entertainment,0.4
4781,NFL GameDay 2002,2001,Sony Computer Entertainment,0.4
4784,Story of Seasons,2014,Nintendo,0.4
4806,Advance Wars: Dual Strike,2005,Nintendo,0.4
4812,Pet in TV,1997,Sony Computer Entertainment,0.4
4813,Battalion Wars,2005,Nintendo,0.4
4828,RR64: Ridge Racer 64,1999,Nintendo,0.4
4838,MLB 2006,2005,Sony Computer Entertainment,0.4
4849,Mother 3,2006,Nintendo,0.4
4854,Wii Sports Club,2014,Nintendo,0.4
4863,Boku no Natsuyasumi,2000,Sony Computer Entertainment,0.4
4865,I-Ninja,2003,Sony Computer Entertainment,0.4
4904,Fire Emblem: Fuuin no Tsurugi,2002,Nintendo,0.39
4912,LocoRoco,2006,Sony Computer Entertainment,0.39
4915,Donkey Konga 2,2004,Nintendo,0.39
4921,Wipeout 2048,2012,Sony Computer Entertainment,0.39
4923,Mystery Case Files: The Malgrave Incident,2011,Nintendo,0.39
4924,Yoshi Touch & Go,2005,Nintendo,0.39
4928,Age of Empires III,2005,Microsoft Game Studios,0.39
4930,MLB 15: The Show,2015,Sony Computer Entertainment,0.39
4933,Custom Robo V2,2000,Nintendo,0.39
4937,Chibi-Robo! Plug into Adventure!,2005,Nintendo,0.39
4939,Jampack Winter 2003 (RP-T),2003,Sony Computer Entertainment,0.39
4983,Super Soccer,1991,Nintendo,0.38
4985,Wario Land II (GBC),1998,Nintendo,0.38
5002,NFL GameDay 2002,2001,Sony Computer Entertainment,0.38
5016,ESPN Extreme Games,1994,Sony Computer Entertainment,0.38
5017,Forza Horizon 3,2016,Microsoft Game Studios,0.38
5030,Elite Beat Agents,2006,Nintendo,0.38
5045,MediEvil II,1999,Sony Computer Entertainment,0.38
5052,Pokemon Channel,2003,Nintendo,0.38
5055,Moto Racer World Tour,2000,Sony Computer Entertainment,0.38
5069,EyeToy Play 2,2004,Sony Computer Entertainment,0.38
5099,Kingdom Under Fire: Circle of Doom,2007,Microsoft Game Studios,0.37
5100,NBA Inside Drive 2002,2002,Microsoft Game Studios,0.37
5103,Kileak: The DNA Imperative,1994,Sony Computer Entertainment,0.37
5122,Yarudora Series Vol.1: Double Cast,1998,Sony Computer Entertainment,0.37
5130,Custom Robo,2004,Nintendo,0.37
5135,Pac-Man World 2,2002,Nintendo,0.37
5148,Trauma Center: Under the Knife,2005,Nintendo,0.37
5186,LocoRoco 2,2008,Sony Computer Entertainment,0.36
5193,Hamtaro: Ham-Ham Heartbreak,2002,Nintendo,0.36
5194,Okage: Shadow King,2001,Sony Computer Entertainment,0.36
5202,Kirby's Dream Land 3,1997,Nintendo,0.36
